add_inter,smell_predict_hrs,smell_thr,train_size,test_size,model,look_back_hrs,var_1,var_2,var_3,accuracy,precision,recall,f1
FALSE,8,40,336,168,Decision Tree,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.86,0.2,0.19,0.16
FALSE,8,40,336,168,Decision Tree,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.86,0.22,0.23,0.18
FALSE,8,40,336,168,Decision Tree,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.86,0.19,0.2,0.16
FALSE,8,40,336,168,Decision Tree,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,336,168,Decision Tree,0,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.84,0.17,0.2,0.15
FALSE,8,40,336,168,Decision Tree,1,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.84,0.19,0.18,0.13
FALSE,8,40,336,168,Decision Tree,4,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.84,0.18,0.17,0.14
FALSE,8,40,336,168,Decision Tree,8,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,336,168,Random Forest,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.91,0.2,0.1,0.11
FALSE,8,40,336,168,Random Forest,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.91,0.23,0.13,0.14
FALSE,8,40,336,168,Random Forest,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.91,0.2,0.13,0.14
FALSE,8,40,336,168,Random Forest,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,336,168,Random Forest,0,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.91,0.18,0.08,0.08
FALSE,8,40,336,168,Random Forest,1,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.91,0.22,0.1,0.11
FALSE,8,40,336,168,Random Forest,4,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.91,0.17,0.08,0.09
FALSE,8,40,336,168,Random Forest,8,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,11732,3352,Decision Tree,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.87,0.23,0.22,0.22
FALSE,8,40,11732,3352,Decision Tree,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.88,0.28,0.24,0.26
FALSE,8,40,11732,3352,Decision Tree,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,0.88,0.31,0.32,0.32
FALSE,8,40,11732,3352,Decision Tree,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Decision Tree,0,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.87,0.24,0.29,0.26
FALSE,8,40,11732,3352,Decision Tree,1,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.88,0.31,0.37,0.34
FALSE,8,40,11732,3352,Decision Tree,4,Wind Direction,Sulphur dioxide,Hydrogen sulphide,0.88,0.27,0.26,0.27
FALSE,8,40,11732,3352,Decision Tree,8,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,11732,3352,Random Forest,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,0,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,1,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,4,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Random Forest,8,Wind Direction,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,12,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,24,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,12,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,12,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,24,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,24,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,8,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,12,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,24,40,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,40,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,40,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,40,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,8,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,8,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,12,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,12,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
TRUE,24,100,11732,3352,MLPClassifier,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,100,11732,3352,MLPClassifier,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,100,11732,3352,MLPClassifier,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
TRUE,24,100,11732,3352,MLPClassifier,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,11732,3352,Stochastic Gradient Descent,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Stochastic Gradient Descent,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Stochastic Gradient Descent,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Stochastic Gradient Descent,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
,,,,,,,,,,,,,
FALSE,8,40,11732,3352,Support Vector Machines,0,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Support Vector Machines,1,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Support Vector Machines,4,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,
FALSE,8,40,11732,3352,Support Vector Machines,8,Wind speed,Sulphur dioxide,Hydrogen sulphide,,,,